Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.1,0.0,0.0,2,4,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,5,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,6,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,7,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,8,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,9,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,10,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,11,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,12,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,13,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,14,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,15,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,16,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,17,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,18,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,19,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,20,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,21,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,22,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,23,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,24,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,25,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,26,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,27,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,28,"(1, 3)",0.0,Headings.W,False,False
